	ID	Statement	Label (0 is False)	Source	Region	Link	pre_cutoff	original_text	Date
16	17	China started piloting national smart city development in 2012 to encourage use of the latest technology, such as artificial intelligence and Internet of Things, to help the flow of traffic, improve law enforcement and make public buildings more energy efficient.	1	Xinhua	ASIA-PACIFIC	http://www.xinhuanet.com/english/2018-02/20/c_136987058.htm	True	English	20 February 2018
17	18	Bigg Boss Kannada winner and filmmaker-actor Pratham went online on a live video talking to his followers after consuming pills.	1	The Times of India	ASIA-PACIFIC	https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/bigg-boss-winner-pratham-attempts-suicide-on-live-video-survives/articleshow/58027624.cms	True	English	6 April 2017
18	19	"Chinese President Xi Jinping published a signed article in the Finnish newspaper Helsinki Times on Monday under the title ""Our Enduring Friendship"" ahead of his state visit to Finland on April 4-6."	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/world/2017xivisitsfinlandandus/2017-04/03/content_28785603.htm	True	English	03 April 2017
19	20	Karakoram Highway stretches over 1,200 kilometers through the Karakoram Mountain, connecting Pakistan and Kashgar in Xinjiang. It's also known as China-Pakistan Friendship Highway.	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/china/2017-08/03/content_30338991.htm	True	English	3 August 2017
20	21	"In 2017, Chinese President Xi Jinping said that BRICS countries should work to usher in the second ""golden decade"" of cooperation."	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/world/2017brics/2017-09/03/content_31502025.htm	True	English	3 September 2017
21	22	President Xi Jinping sent a condolence message to his US counterpart, Donald Trump, over the mass shooting in Las Vegas in the US state of Nevada.	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/world/2017-10/03/content_32786881.htm	True	English	3 October 2017
22	23	The world's first smart ship, developed and built by China State Shipbuilding Corp, started its first trial voyage in Guangzhou, capital of Guangdong province.	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/china/2017-11/03/content_34055628.htm	True	English	3 November 2017
23	24	Ketmonov, chairman of the Central Council of the People's Democratic Party of Uzbekistan and deputy speaker of the legislative chamber of the Supreme Assembly of the Republic of Uzbekistan, said Uzbekistan played one of the most important roles in the ancient Silk Road, as it is located in the center of the road, geographically.	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/world/2017-12/05/content_35220289.htm	True	English	5 December 2017
24	25	China's social asset totaled 1210 trillion yuan by the end of 2016, according to China's National Balance Sheet 2018.	1	China Daily	ASIA-PACIFIC	https://www.chinadaily.com.cn/a/201812/27/WS5c24446fa310d91214051414.html	True	English	27 December 2018
25	26	In a statement, the European Union (EU) Minister for Foreign Affairs Josep Borrell called on Egypt, Ethiopia, and Sudan to resume talks regarding the Grand Ethiopian Renaissance Dam (GERD).	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/10/24/eu-calls-on-ethiopian-dam-parties-to-resume-talks/	True	English	25 October 2020
26	27	Veteran Egyptian actor Mahmoud Yassin passes away at 79.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/10/14/veteran-egyptian-actor-mahmoud-yassin-passes-away-at-79/	True	English	14 October 2020
27	28	Famous Egyptian actor and singer Mohamed Ramadan was suspended from acting by the Egyptian Union of Artistic Syndicates, due to controversial photos that show him partying with Israeli celebrities in Dubai.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/11/24/egyptian-actor-mohamed-ramadan-suspended-over-photos-with-israelis/	True	English	24 November 2020
28	29	In June 2020, Israel finally approved the appointment of veteran diplomat, Amira Oron, as its new ambassador to Cairo.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/09/23/president-al-sisi-receives-credentials-for-15-new-ambassadors-to-egypt/	True	English	23 September 2020
29	30	Egypt’s Chief of General Intelligence Services (GIS), Abbas Kamel, travelled to South Sudan at the head of an Egyptian delegation, on a visit to meet President Salva Kiir and several state officials.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/08/12/egypts-intelligence-head-meets-south-sudans-salva-kiir-in-juba/	True	English	12 August 2020
30	31	Google has introduced the Arabic version to its free Read Along Android app to help children over five years old independently learn and build their reading skills.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/09/12/google-introduces-arabic-language-read-along-app-to-improve-child-reading-skills/	True	English	12 September 2020
31	32	Sheikh El-Hara was criticised by some people for violating privacy of celebrities through putting them under pressure to speak about their personal relationships, while other people are supporting the show for being bold and critical.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2019/05/26/media-regulation-council-investigates-violations-of-sheikh-el-hara-tv-show/	True	English	26 May 2019
32	33	After his resignation from his post as Chairperson and Managing Director of the Commercial International Bank - Egypt (CIB), Hisham Ezz Al-Arab released a statement of apology on social media.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/10/24/hisham-ezz-al-arab-releases-resignation-from-cib-post/	True	English	24 October 2020
33	34	Egypt’s consumer price index for urban consumers (CPI-U) rose to 3.8% in September 2020, compared to 3.4% in August 2020.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/10/10/egypts-urban-inflation-rises-to-3-8-in-september-capmas/	True	English	10 October 2020
34	35	The global net income of the American multinational hospitality company Hilton reached $225m during the fourth quarter (Q4) of 2018, while the full year’s net income recorded $769m, according to Hilton’s Fourth Quarter and Full Year 2018 Results. 	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2019/07/27/hiltons-global-net-income-reaches-769m-in-2018/	True	English	26 July 2019
35	36	At least six persons were killed in a building collapse in Egypt’s northern coastal city of Alexandria.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2020/12/03/6-killed-in-building-collapse-in-northern-egypts-alexandria/	True	English	3 December 2020
36	37	A huge Roman Empire building that is believed to be the Roman Empire main senate was unearthed at the Pelusium archaeological site near North Sinai. The site was found by an Egyptian mission in cooperation of the Institute of Archeology and Ethnology of the Polish Academy of Sciences.	1	Daily News Egypt	AFRICA	https://www.dailynewsegypt.com/2019/08/01/ancient-roman-empire-senate-unearthed-near-north-sinai/	True	English	1 August 2019
37	38	The Lagos State Internal Revenue Service (LIRS) has introduced a new payment system that uses the electronic fiscal device (EFD) for hotels, restaurants, nightclubs and event centres and all stakeholders in the hospitality and tourism sector.	1	The Sun	AFRICA	https://sunnewsonline.com/lirs-introduces-e-payment-for-consumption-tax/	True	English	1 March 2018
38	39	Senator Mustapha Bukar dies at 63.	1	The Sun	AFRICA	https://sunnewsonline.com/katsina-senator-dies-at-63/	True	English	5 April 2018
39	40	Audu Kwaghtamen, a native doctor who hailed from Yelwater, a border community between Benue and Nasarawa states inhabited mainly by the Tiv, died and was buried by the roadside on March 11, 2004.	1	The Sun	AFRICA	https://sunnewsonline.com/herbalists-corpse-turns-museum-13-years-after-burial/	True	English	17 February 2018
40	41	Leading telecommunications services provider, Airtel Nigeria, launched its 4G LTE network in Abuja with an assurance that the latest technology would empower more Nigerians, stimulate economic activities across all sectors of the economy as well as provide unfettered access to affordable and reliable mobile broadband.	1	The Sun	AFRICA	https://sunnewsonline.com/airtel-launches-4g-lte-in-abuja/	True	English	8 May 2018
41	42	The award-winning scholar-writer, Dr. Lola Akande of the Department of English, University of Lagos, has released a novel:  Where Are You From? The novel dwells on citizenship, indigenisation, inter-ethnic marriages and youthful exuberance.	1	The Sun	AFRICA	https://sunnewsonline.com/lola-akande-releases-new-novel/	True	English	10 February 2018
42	43	From 1999 t0 2018, over N63 trillion budgeted to better Nigeria has yielded no fruit, a problem that has been attributed to pervasive corruption, said the MacArthur Foundation.	1	The Sun	AFRICA	https://sunnewsonline.com/nigeria-has-wasted-n63-trillion-since-1999-macarthur-foundation/	True	English	16 January 2020
43	44	As part of her contributions to the development of the girl-child, the Chief Executive Officer, African Alliance Insurance Plc, Funmi Omo, launched a scholarship initiative for young women across the country.	1	The Sun	AFRICA	https://sunnewsonline.com/african-alliance-ceo-launches-women-scholarship-scheme/	True	English	4 June 2020
44	45	In 2018, Delta Air Lines was named the world’s ‘most on-time’ airline by the aviation data and analytics company FlightGlobal FlightStats. 	1	The Sun	AFRICA	https://sunnewsonline.com/delta-named-2017s-most-on-time-global-airline/	True	English	29 January 2018
45	46	The United Nations Children’s Fund (UNICEF) said in 2018 that over 23 million children are malnourished in Nigeria while more than 10 million are also at the risk of malnourishment due to imminent food insecurity.	1	The Sun	AFRICA	https://sunnewsonline.com/over-20m-nigerian-children-malnourished-unicef/	True	English	08 February 2018
46	47	Milwaukee Bucks star forward Giannis Antetokounmpo was named NBA Defensive Player of the Year in 2020.	1	The Sun	AFRICA	https://sunnewsonline.com/antetokounmpo-named-nba-defensive-player-of-the-year/	True	English	26 August 2020
47	48	The United Nations announced in 2018 the return of 53 Sudanese refugees after they spent more than 14 years in refugee camps in eastern Chad.	1	The Sun	AFRICA	https://sunnewsonline.com/un-announces-return-of-53-sudanese-refugees-from-chad/	True	English	17 April 2018
48	49	The police force headquarters in Abuja declared Kazeem Afegbua wanted.	1	The Sun	AFRICA	https://sunnewsonline.com/breaking-news-police-declares-kazeem-afegbua-wanted/?expand_article=1	True	English	5 February 2018
49	50	A Boeing 747 British Airways (BA) flight BA9157 with registration number G-CIVO, airlifted 213 Britons (including 22 crew members)  from the Murtala Muhammed International Airport (MMIA), Lagos, as part of the United Kingdom’s repatriation efforts over the COVID19 pandemic.	1	The Sun	AFRICA	https://sunnewsonline.com/covid19-uk-repatriates-213-citizens-from-lagos/	True	English	21 April 2020
50	51	Born to Greek immigrants in Izmet northwest of Istanbul in 1956, Meral Aksener pursued a degree in History at Istanbul University. 	1	Asharq Al-Awsat	MIDDLE EAST	https://english.aawsat.com/home/article/1149256/asharq-al-awsat-exclusive-meral-aksener-turkey%E2%80%99s-iron-lady-threatening-erdogan	True	English	20 January 2018
51	52	Swami Sivananda from India, whose passport mentions his date of birth as 08/08/1896, had his three-day visit to the UAE in 2019. 	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/123-year-old-traveller-lands-at-abu-dhabi-airport	True	English	8 October 2019
52	53	Dubai's Burj Khalifa, the world's tallest building, showcased the national flag of Afghanistan on August 19 2019 on account of the country's 100th Independence Day.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/dubai/dubais-burj-khalifa-to-showcase-afghanistan-flag-today	True	English	19 August 2019
53	54	The landmark UAE reform allowing foreign investors 100 per cent ownership of businesses took effect from December 1, 2020.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/government/uae-allows-100-ownership-of-businesses-by-foreign-nationals	True	English	23 November 2020
54	55	The General Directorate of Residency and Foreigners Affairs in Dubai announced in 2020 the launch of Al Saada Tourist Card, a free discount card that would give tourists access to a wide range of exclusive privileges, discounts, and promotions during their stay in the emirate.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/dubai-tourists-to-get-free-discount-cards-upon-arrival	True	English	10 December 2020
55	56	Starting January 1 2021, water pipe tobacco (shisha) or electrically heated cigarettes cannot be sold in the UAE unless they bear the digital tax stamp (DTS).	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/uae-to-ban-e-cigarettes-shisha-without-digital-tax-stamp	True	English	22 December 2020
56	57	Emirates Integrated Telecommunications Company, or EITC, the holding group of du, announced in Aug 2020 a new operating model designed to digitally future-proof and enhance the telco's ability to adapt to evolving market dynamics.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/telecom/dubai-telecom-firm-eitc-unveils-revamped-operating-model	True	English	27 August 2020
57	58	Dubai International Financial Centre (DIFC) Courts frozed assets of NMC Health chairman BR Shetty at the request of Dutch lender Credit Europe Bank's Dubai branch.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/business/corporate/difc-courts-freezes-nmc-health-chairman-br-shettys-assets	True	English	25 July 2020
58	59	Adnoc Onshore, a subsidiary of the Abu Dhabi National Oil Company (Adnoc), announced the award of two Engineering, Procurement, and Construction (EPC) contracts to upgrade two Main Oil Lines (MOLs) and crude receiving facilities at the Jebel Dhanna Terminal in Abu Dhabi.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/energy/adnoc-invests-245-million-to-upgrade-main-oil-lines	True	English	9 Sep 2020
59	60	Emirates president Sir Tim Clark stepped down after 35 years with the world's largest carrier for international passengers.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/business/emirates-president-tim-clark-to-step-down	True	English	24 December 2019
60	61	Indian classical dancer Deepa Nair dies in Dubai.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/indian-classical-dancer-deepa-nair-dies-in-dubai	True	English	4 May 2020
61	62	Samsung Electronics chairman Lee Kun-hee dies at 78	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/business/samsung-electronics-chairman-lee-kun-hee-dies-at-78	True	English	25 October 2020
62	63	In 2020, Emaar Properties named Mohamed Alabbar, founder of the company and previously chairman of the board of directors, as managing director.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/business/alabbar-named-emaars-managing-director-new-chairman-announced	True	English	13 December 2020
63	64	Sephardic Chief Rabbi of the State of Israel, Rabbi Yitzhak Yosef and Rabbi Levi Duchman led a prayer ceremony during a Jewish meeting to inaugurate the first certified Jewish school in the gulf.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/israels-chief-rabbi-prays-for-uae-leaders-wellbeing	True	English	20 December 2020
64	65	Nia Tony, an eight-year-old eco-warrior has collected nearly 15,000kg of paper waste in Dubai as part of the Emirates Environmental Group's nationwide recycling campaign.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/8-year-old-collects-15000kg-of-paper-waste-in-dubai	True	English	10 June 2019
65	66	His Highness Sheikh Mohammed bin Rashid Al Maktoum, Vice-President and Prime Minister of the UAE and Ruler of Dubai, has reprimanded government officials for not responding to complaints raised by the public.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/sheikh-mohammed-chides-government-officials-for-ignoring-complaints	True	English	1 September 2019
66	67	Dr Raed Safadi, chief economic advisor, Dubai Economy, said the emirate will continue to outpace global growth and those of advanced economies in the next couple of years on the back of Expo 2020 and developments related to the exhibition.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/business/dubai-launches-virtual-company-licence-costs-dh850	True	English	1 October 2019
67	68	The Mohammad bin Rashid Centre for Islamic Culture announced that 3,184 people converted to Islam in 2020.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/news/3184-people-accept-islam-in-uae-during-2020	True	English	23 December 2020
68	69	A personal bodyguard of the Custodian of the Two Holy Mosques, King Salman bin Abdulaziz Al Saud of Saudi Arabia, has been shot dead and seven others wounded, including security forces, during an altercation at a friend's home.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/article/saudi-king-salmans-personal-bodyguard-shot-dead-by-friend	True	English	29 September 2019
69	70	The Government of the UAE has launched the new domain name of its official portal to become the first government domain in the world composed of a single letter (U), to facilitate the public access to information, services, projects, strategies and laws in the UAE.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/government/uae-gets-worlds-first-single-letter-govt-domain	True	English	23 July 2019
70	71	In December 2019, Hala China wrapped up its second edition of Dubai Fashion Days, which saw over 12 designers from China and the Middle East put together a five-day fashion extravaganza under the able guidance of show director, Jerry Zhang China's 'father of fashion'.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/dubai-to-host-biggest-chinese-new-year-celebrations-outside-china	True	English	17 January 2020
71	72	An Asian beggar on visit visa, who was found to have made a whopping Dh100,000 in just a month, was arrested in Dubai's Al Quoz area. 	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/beggar-making-dh100000-per-month-in-dubai-arrested	True	English	6 May 2019
72	73	His Highness Sheikh Mohammed bin Rashid Al Maktoum, Vice-President and Prime Minister of the UAE and Ruler of Dubai, has officially joined video-sharing social networking service TikTok.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/government/sheikh-mohammed-launches-official-tiktok-account-shares-motivational-video	True	English	19 December 2020
73	74	The Islamabad High Court granted bail to former president Asif Ali Zardari in the fake accounts case on health grounds.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/article/pakistans-ex-president-zardari-gets-bail-on-health-grounds	True	English	10 December 2019
74	75	Sheikh Hamdan married Sheikha Sheikha bint Saeed bin Thani Al Maktoum.	1	Khaleej Times	MIDDLE EAST	https://www.khaleejtimes.com/uae/dubai-crown-prince-sheikh-hamdan-brothers-get-married	True	English	17 May 2019
75	76	Research shows a majority of young people in a dozen countries in Europe do not follow a religion.	1	The Guardian	EUROPE	https://www.theguardian.com/world/2018/mar/21/christianity-non-christian-europe-young-people-survey-religion	True	English	20 March 2018
76	77	Major global survey shows European countries are among the gloomiest in the developed world, with citizens pessimistic about their national prospects, their youth and the world in general	1	The Guardian	EUROPE	https://www.theguardian.com/world/2019/may/03/european-countries-gloomiest-developed-world-poll	True	English	3 May 2019
77	78	Researchers from the Institute of Cancer Research at the Medical University of Vienna in Austria said a thorough review of 53 safety studies submitted to regulators by large chemical companies showed that most do not comply with modern international standards for scientific rigor, and lack the types of tests most able to detect cancer risks.	1	The Guardian	EUROPE	https://www.theguardian.com/business/2021/jul/02/glyphosate-herbicide-roundup-corporate-safety-studies	True	English	July 2 2021
78	79	France investigates fashion brands over forced Uyghur labour claims	1	The Guardian	EUROPE	https://www.theguardian.com/world/2021/jul/02/france-investigates-fashion-brands-over-forced-uyghur-labour-claims	True	English	July 2 2021
79	80	Over 50,000 EU citizens applied for settled status in the UK the day before the deadline of the application was due	1	The Guardian	EUROPE	https://www.theguardian.com/politics/2021/jul/01/eu-citizens-scramble-beat-uk-settled-status-deadline	True	English	July 1 2021
80	81	Amsterdam mayor apologises for city’s past role in slave trade	1	The Guardian	EUROPE	https://www.theguardian.com/world/2021/jul/01/amsterdam-mayor-apologises-for-citys-past-role-in-slave-trade	True	English	July 1 2021
81	82	Putin says he was jabbed with Russia’s Sputnik V vaccine	1	The Guardian	EUROPE	https://www.theguardian.com/world/2021/jun/30/putin-says-he-was-jabbed-with-russias-sputnik-v-vaccine	True	English	July 1 2021
82	83	England fans in UK can’t go to Rome for Euros quarter-final due to Covid rules, the FA saying it can’t sell tickets domestically due to Italy’s five-day quarantine period 	1	The Guardian	EUROPE	https://www.theguardian.com/football/2021/jun/29/england-fans-in-uk-cant-go-to-rome-for-euros-quarter-final-due-to-covid-rules	True	English	June 29 2021
83	84	David Frost, the UK's Brexit minister, appears to make light of Elton John’s concerns over EU musician visas	1	The Guardian	EUROPE	https://www.theguardian.com/uk-news/2021/jun/29/david-frost-says-elton-john-had-hits-before-uk-joined-eu	True	English	June 29 2021
84	85	Greek firefighters tackle major forest fire in conservation area near Athens, warning of a ‘huge ecological disaster’ after blaze in the Geraneia mountains	1	The Guardian	EUROPE	https://www.theguardian.com/world/2021/may/22/greek-firefighters-tackle-major-forest-fire-in-conservation-area-near-athens	True	English	22 May 2021
85	86	“Pandemic fatigue” is on the rise across Europe and with it comes the risk of further disease spread, the World Health Organization has warned	1	The telegraph	EUROPE	https://www.telegraph.co.uk/global-health/science-and-disease/apathy-towards-covid-19-growing-across-europe-warns/	True	English	6 October 2020
86	87	Public trust in the UK government’s response to the Covid-19 pandemic has been ranked one of the lowest in Europe, according to a study. 	1	The telegraph	EUROPE	https://www.telegraph.co.uk/global-health/science-and-disease/confidence-uks-covid-19-response-ranked-lowest-europe/	True	English	5 October 2020
87	88	Fears have been expressed for foreign exchange trips as peers urge the Government to scrap plans that would force all children from Europe to carry passports after Brexit is completed.	1	The telegraph	EUROPE	https://www.telegraph.co.uk/news/2020/10/04/fears-foreign-exchange-trips-peers-urge-government-scrap-plans/	True	English	4 October 2020
88	89	 EU warned Libya 'not safe for refugees' as it plans major reforms to migration policy,  Amnesty International report details rape and torture of refugees sent back to Libya after attempting to reach Europe 	1	The telegraph	EUROPE	https://www.telegraph.co.uk/news/2020/09/24/eu-warned-libya-not-safe-refugees-plans-major-reforms-migration/	True	English	24 September 2020
89	90	 Czech’s replacement health minister reintroduces slew of restrictions as policy dramatically unravells following ‘end of Covid’ parties 	1	The telegraph	EUROPE	https://www.telegraph.co.uk/news/2020/09/23/czechs-replacement-health-minister-reintroduces-slew-restrictions/	True	English	23 September 2020
90	91	 Global temperatures boosted by climate change will still be higher than usual despite the cooling effect of a “moderate to strong” La Nina weather phenomenon, the UN said	1	France24	EUROPE	https://www.france24.com/en/europe/20201030-2020-set-to-rank-among-hottest-years-on-record-despite-la-nina-cooling-un-says	True	English	30 September 2020
91	92	 At least 19 people have been killed and hundreds injured after a powerful earthquake struck Turkey’s western coast and parts of Greece on Friday as both nations vowed to help the other in their recovery efforts. 	1	France24	EUROPE	https://www.france24.com/en/europe/20201030-deadly-earthquake-strikes-turkey-and-greece	True	English	30 October 2020
92	93	 The European Union will finance the transfer of patients across borders within the bloc to prevent hospitals from getting overwhelmed as Covid-19 infections and hospitalisations spike in the continent. 	1	France24	EUROPE	https://www.france24.com/en/europe/20201029-eu-to-fund-transfer-of-covid-19-patients-between-countries-as-strain-on-hospitals-grows	True	English	30 October 2020
93	94	 Russia's Sputnik V vaccine is 92% effective at protecting people from COVID-19 according to interim trial results, the country's sovereign wealth fund saidon Wednesday, as Moscow rushes to keep pace with Western drugmakers in the race for a shot. 	1	France24	EUROPE	https://www.france24.com/en/europe/20201111-russia-says-its-covid-19-vaccine-sputnik-v-is-92-effective	True	English	11 November 2020
94	95	Property prices in the Portuguese capital Lisbon have risen by more than 60 percent in just three years, with many apartments used mainly as holiday rentals. But now, with a major drop in tourists due to the Covid-19 pandemic, these flats are empty and the city authorities are hoping to convince landlords to rent them out to low-income families, who have largely been priced out of their own city	1	France24	EUROPE	https://www.france24.com/en/tv-shows/focus/20201111-portugal-flats-in-lisbon-earmarked-for-low-income-families-as-tourism-plummets	True	English	11 November 2020
95	96	 Russian peacekeeping troops deployed to Nagorno-Karabakh on Tuesday under a deal that halted six weeks of fighting between Azeri and ethnic Armenian forces, locking in place territorial gains by Azerbaijan. 	1	France24	EUROPE	https://www.france24.com/en/europe/20201111-russia-deploys-peacekeepers-to-nagorno-karabakh-after-ceasefire-deal	True	English	11 November 2020
96	97	 The European Union warned pharmaceutical giants that develop coronavirus vaccines to honor their contractual obligations after slow deliveries of shots from two companies hampered the bloc’s vaunted vaccine rollout in several nations. 	1	France24	EUROPE	https://www.france24.com/en/europe/20210126-eu-chief-says-covid-19-pharmaceutical-firms-must-deliver-on-vaccine-obligations	True	English	26 January 2021
97	98	 The leaders of Russia and Ukraine agreed on Tuesday to exchange all remaining prisoners from the conflict in east Ukraine by the end of the year, but left thorny questions about the region's status for future talks. 	1	France24	EUROPE	https://www.france24.com/en/20191210-russia-and-ukraine-leaders-in-first-talks-agree-to-exchange-prisoners	True	English	10 December 2019
